;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
110;PP CARRARA MT 90X90 R;"Armazem
27,20";FJJ019B011 ; 31/10/2022 ; 69,60 M2; 31/08/2022 ; 57,60 M2; 15/06/2022 ; 32,80 M2;;;;;;
111;PP CARRARA GP 90X90 R;"Armazem
448,00";FJJ019B101 ; 15/05/2022 ; 961,60 M2;;;;;;;;;;
112;INS CARRARA MT 30X90,2 R;;FJJ01AW011 ; 30/05/2022 ; 1233,63 M2;;;;;;;;;;
113;PE CARRARA POL 90X90 R;"Armazem
243,20";FJJ029B011 ; 31/10/2022 ; 1722,40 M2; 30/09/2022 ; 314,40 M2; 13/07/2022 ; 28,00 M2;;;;;;
114;RV CARRARA MT 30X90,2 R;"Armazem
2660,04";FJJ02AW011 ; 24/05/2022 ; 233,28 M2;;;;;;;;;;
115;LM CARRARA MC 120X120 R;;FJJ02E8011 ; 30/11/2022 ; 1832,55 M2; 30/09/2022 ; 35,62 M2; 31/08/2022 ; 5,70 M2; 28/05/2022 ; 14,25 M2;;;;
116;LM CARRARA MC 60X120 R;"Armazem
202,35";FJJ0354011 ; 31/08/2022 ; 315,24 M2; 31/08/2022 ; 16,33 M2; 13/06/2022 ; 528,24 M2;;;;;;
117;LM CARRARA MT 120X120 R;"Armazem
302,10";FJJ03E8011 ; 30/11/2022 ; 95,48 M2; 31/10/2022 ; 14,25 M2; 31/07/2022 ; 37,05 M2;;;;;;
118;LM CARRARA MT 60X120 R;"Armazem
48,99";FJJ0454011 ; 31/08/2022 ; 110,76 M2;;;;;;;;;;
119;PP VULCANO MT 90X90 R;"Armazem
67,20";FK4019B381 ; 05/07/2022 ; 224,00 M2;;;;;;;;;;
120;PP VULCANO CARVE 30X60 R;"Armazem
1283,40";FK40257381 ;;;;;;;;;;;;
121;PE VULCANO POL 90X90 R;;FK4029B381 ; 18/07/2022 ; 635,20 M2;;;;;;;;;;
122;Não encontrado;;FKM011P991 ;;;;;;;;;;;;
123;INS MARBLE LASSA MT 30X90,2 R;"Armazem
330,48";FL601AW011 ;;;;;;;;;;;;
124;LM MARBLE LASSA MC 120X120 R;"Armazem
2,85";FL603E8011 ;;;;;;;;;;;;
125;LM MARBLE LASSA MT 120X120 R;;FL604E8011 ; 31/07/2022 ; 34,20 M2;;;;;;;;;;
126;LM MARBLE SORRENTO MR MC120X120R;"Armazem
11,40";FNJ02E8251 ; 30/11/2022 ; 430,35 M2; 31/08/2022 ; 85,50 M2; 31/08/2022 ; 19,95 M2; 27/05/2022 ; 1,42 M2;;;;
127;LM MARBLE SORRENTO MR MT120X120R;"Armazem
11,40";FNJ03E8251 ; 30/11/2022 ; 280,72 M2; 31/07/2022 ; 34,20 M2;;;;;;;;
128;LM PULPIS GRAY MC 60X120 R;"Armazem
736,98";FOH0154021 ;;;;;;;;;;;;
129;LM PULPIS INTENSE MT 100X200 R;;FOH01ZF021 ; 26/06/2022 ; 364 M2;;;;;;;;;;
130;LM PULPIS GRAY MT 60X120 R;"Armazem
19,17";FOH0254021 ; 31/08/2022 ; 1190,67 M2; 06/06/2022 ; 854,84 M2;;;;;;;;
131;LM PULPIS INTENSE MC 100X200 R;"Armazem
12";FOH02ZF021 ; 29/06/2022 ; 486 M2;;;;;;;;;;
132;LM CALACATA LIGHT MC 120X120 R;;FOI01E8011 ; 30/11/2022 ; 85,50 M2; 30/09/2022 ; 162,45 M2; 31/08/2022 ; 66,98 M2;;;;;;
133;LM CALACATA LIGHT MT 120X250R;"Armazem
4380,35";FOI01HM011 ;;;;;;;;;;;;
134;LM CALACATA LIGHT MT 120X120 R;"Armazem
57,00";FOI02E8011 ;;;;;;;;;;;;
135;LM CALACATA LIGHT MC 120X250R;;FOI02HM011 ; 20/06/2022 ; 74,75 M2;;;;;;;;;;
136;LM CONCRETE GRAY MC 120X120 R;"Armazem
2,85";FOK01E8021 ; 30/11/2022 ; 766,65 M2; 30/09/2022 ; 37,05 M2; 31/08/2022 ; 61,28 M2;;;;;;
137;LM CONCRETE OFF WHIT MT 120X250R;;FOK01HM021 ; 15/06/2022 ; 1342,51 M2;;;;;;;;;;
138;LM CONCRETE GREIGE MT 120X250R;"Armazem
26,91";FOK01HM041 ;;;;;;;;;;;;
139;LM CONCRETE GRAY MT 120X250 R;"Armazem
750,49";FOK01HS021 ;;;;;;;;;;;;
